year,untitledWorks,allWorks
1929,0,9
1930,0,8
1931,0,3
1932,0,17
1933,0,96
1934,0,254
1935,182,412
1936,0,148
1937,6,317
1938,0,137
1939,0,421
1940,13,1416
1941,47,889
1942,16,837
1943,0,1087
1944,1,340
1945,21,282
1946,0,170
1947,48,434
1948,4,397
1949,12,1511
1950,3,448
1951,0,626
1952,27,539
1953,3,472
1954,5,828
1955,17,440
1956,43,1108
1957,1,297
1958,11,699
1959,36,830
1960,29,449
1961,42,541
1962,39,569
1963,149,942
1964,116,12508
1965,136,1984
1966,122,1785
1967,277,2326
1968,351,6794
1969,462,2183
1970,91,1221
1971,109,1036
1972,127,813
1973,210,1036
1974,972,3338
1975,92,953
1976,69,866
1977,108,1171
1978,96,1349
1979,121,1090
1980,94,645
1981,109,1287
1982,89,840
1983,67,1185
1984,81,859
1985,125,1048
1986,154,1016
1987,133,1264
1988,123,1016
1989,170,870
1990,260,1234
1991,98,828
1992,187,1198
1993,293,1247
1994,112,936
1995,199,972
1996,273,956
1997,215,929
1998,344,1251
1999,440,1661
2000,72,1844
2001,396,3515
2002,104,741
2003,91,587
2004,144,735
2005,1353,4064
2006,665,1680
2007,551,2155
2008,672,5447
2009,442,1556
2010,809,2054
2011,302,2064
2012,630,3374
2013,324,2984
2014,312,2664
