year,Architecture & Design,Drawings,Film,Fluxus Collection,Media and Performance Art,Painting & Sculpture,Photography,Prints & Illustrated Books,untitled
1929,0,1,0,0,0,0,0,8,0
1930,0,2,0,0,0,5,0,1,0
1931,0,0,0,0,0,2,0,1,0
1932,2,3,0,0,0,1,1,10,0
1933,0,0,0,0,0,2,92,2,0
1934,45,19,0,0,0,20,2,168,0
1935,23,306,4,0,0,22,24,33,182
1936,88,27,4,0,0,25,0,4,0
1937,193,25,1,0,0,35,57,6,6
1938,17,2,10,0,0,16,85,7,0
1939,137,87,15,0,0,59,51,72,0
1940,73,51,6,0,0,21,125,1140,13
1941,10,152,1,0,0,49,610,67,47
1942,81,262,1,0,0,78,218,197,16
1943,822,26,0,0,0,37,127,75,0
1944,64,20,1,0,0,19,113,123,1
1945,99,83,0,0,0,18,0,82,21
1946,32,7,0,0,0,9,32,90,0
1947,73,87,1,0,0,19,36,218,48
1948,117,31,0,0,0,21,1,227,4
1949,28,24,0,0,0,36,0,1423,12
1950,96,27,0,0,0,30,92,203,3
1951,149,19,0,0,0,38,0,420,0
1952,63,16,0,0,0,32,16,412,27
1953,133,71,2,0,0,44,51,171,3
1954,115,34,1,0,0,36,44,598,5
1955,45,57,1,0,0,55,4,278,17
1956,211,99,3,0,0,66,64,665,43
1957,104,41,0,0,0,27,26,99,1
1958,188,35,0,0,0,52,0,424,11
1959,16,9,0,0,0,63,451,291,36
1960,112,31,0,0,0,56,104,146,29
1961,59,42,0,0,0,79,151,210,42
1962,31,78,0,0,0,38,156,266,39
1963,167,220,0,0,0,57,128,370,149
1964,92,132,0,0,0,61,572,11651,116
1965,105,82,0,0,0,70,354,1373,136
1966,144,152,0,0,0,61,170,1258,122
1967,199,215,0,0,0,104,340,1468,277
1968,204,233,1,0,0,42,5417,897,351
1969,71,135,4,0,0,73,304,1596,462
1970,168,73,8,0,0,69,256,647,91
1971,3,90,4,0,0,49,500,390,109
1972,70,59,3,0,0,11,258,412,127
1973,24,93,0,0,0,29,225,665,210
1974,803,65,2,0,0,25,556,1887,972
1975,19,54,1,0,26,46,283,524,92
1976,95,60,2,0,8,34,331,336,69
1977,171,139,5,0,0,24,293,539,108
1978,60,326,4,0,0,37,236,686,96
1979,65,109,3,0,32,96,248,537,121
1980,131,72,2,0,15,25,191,209,94
1981,164,46,1,0,23,26,698,329,109
1982,96,41,0,0,20,27,298,358,89
1983,223,105,2,0,14,47,412,382,67
1984,103,109,1,0,62,29,276,279,81
1985,110,166,1,0,14,114,172,471,125
1986,71,60,2,0,62,30,309,482,154
1987,144,45,0,0,17,24,295,739,133
1988,73,95,5,0,36,16,176,615,123
1989,28,73,9,0,10,14,375,361,170
1990,146,61,1,0,18,47,253,708,260
1991,30,58,8,0,13,87,192,440,98
1992,66,87,2,0,18,45,323,657,187
1993,106,22,1,0,37,17,258,806,293
1994,119,9,1,0,69,75,333,330,112
1995,132,47,5,0,6,30,573,179,199
1996,202,89,0,0,0,77,196,392,273
1997,98,60,4,0,71,40,179,477,215
1998,130,56,1,0,41,47,575,401,344
1999,629,92,11,0,152,35,164,578,440
2000,416,110,1,0,107,43,904,263,72
2001,257,324,3,0,10,29,1006,1886,396
2002,39,211,109,0,7,34,110,231,104
2003,124,78,47,0,39,14,126,159,91
2004,83,173,5,0,36,47,137,254,144
2005,103,2754,109,0,68,151,336,543,1353
2006,299,85,17,0,21,34,336,888,665
2007,227,182,72,0,425,41,407,801,551
2008,213,134,127,1082,257,46,267,3321,672
2009,193,124,94,0,53,32,393,667,442
2010,145,244,64,0,3,112,645,841,809
2011,310,237,156,0,178,88,376,719,302
2012,676,150,679,0,139,46,300,1384,630
2013,168,91,260,0,78,68,1257,1062,324
2014,852,95,109,0,64,42,810,692,312
2015,258,7,55,0,35,38,262,90,94
